Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Kalium,Klorid,Kalcium,Fluorid,Magnesium,Natrium,Vitamin B12,Vitamin B6,Vitamin C,Riboflavin,Niacin,Pantotensyra,Biotin,Krom,Fiber,Folsyra,Vitamin D,Vitamin E,Selen,Zink,Fosfor,Koppar,Järn,Mangan,Varav polyoler,Vitamin A,Tiamin,Citronsyra,url
Te Röda bär svart te 20-p ICA I love eco,"26,90 kr","20 per frp 1,35 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-r%C3%B6da-b%C3%A4r-svart-te-20-p-ica-i-love-eco/2090851
Mellanrost Snabbkaffe Glas 200g ICA,"99,00 kr","0.2kg 495,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanrost-snabbkaffe-glas-200g-ica/1007088
Läsk 33cl 10-p Coca-Cola,"96,00 kr","3.3L 29,09 kr/l exkl pant",42 kcal,180 kJ,0 g,0 g,10.6 g,10.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-33cl-10-p-coca-cola/2038334
Tranbärsdryck Drickfärdig 1l ICA,"32,90 kr","1L 32,90 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tranb%C3%A4rsdryck-drickf%C3%A4rdig-1l-ica/1449616
Te Svart Russian Earl Grey Pyramid 20p Lipton,"31,90 kr","20 per frp 1,60 kr/st",4 kcal,17 kJ,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-svart-russian-earl-grey-pyramid-20p-lipton/2139046
Bryggkaffe Koffeinfritt Mellanrost 425g Gevalia,"114,00 kr","0.425kg 268,24 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-koffeinfritt-mellanrost-425g-gevalia/2002417
Örtte Kamomill 25-p Friggs,"27,90 kr","25 per frp 1,12 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6rtte-kamomill-25-p-friggs/1005605
Te Svart Collection 50p Lipton,"76,00 kr","50 per frp 1,52 kr/st",4 kcal,17 kJ,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/te-svart-collection-50p-lipton/2139045
Läsk Pepsi Max 33cl Pepsi,"11,90 kr","0.33L 36,06 kr/l exkl pant",1 kcal,2 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-pepsi-max-33cl-pepsi/2094039
Kolsyrat Vatten Ananas Passionsfrukt 50cl Loka,"15,90 kr","0.5L 31,80 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrat-vatten-ananas-passionsfrukt-50cl-loka/2104997
Snabbkaffe 200g Sedir Food,"78,00 kr","0.2kg 390,00 kr/kg",,,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-200g-sedir-food/2123971
Snabbkaffe Refill Lyx Mörkrost 200g Nescafé,"116,00 kr","0.2kg 580,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snabbkaffe-refill-lyx-m%C3%B6rkrost-200g-nescaf%C3%A9/1299952
Kaffefilter Nummer 4 200p ICA Basic,"25,90 kr","200 per frp 0,13 kr/st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffefilter-nummer-4-200p-ica-basic/2115936
Svart Te Yellow label 100p Lipton,"49,90 kr","100 per frp 0,50 kr/st",4 kcal,17 kJ,0.5 g,0.1 g,0.5 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svart-te-yellow-label-100p-lipton/2099666
Öl Alkoholfri 33cl Brutal Brewing,"21,90 kr","0.33L 66,36 kr/l",20 kcal,100 kJ,0.5 g,0.5 g,5.3 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-alkoholfri-33cl-brutal-brewing/2016824
Energidryck Ultra Rosá Sockerfri 50cl Monster Energy,"21,90 kr","0.5L 43,80 kr/l exkl pant",3 kcal,12 kJ,0 g,0 g,1.4 g,0 g,0 g,0.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-ultra-ros%C3%A1-sockerfri-50cl-monster-energy/2105672
Energidryck Persika Edition 25cl Red Bull,"17,90 kr","0.25L 71,60 kr/l exkl pant",45 kcal,192 kJ,0 g,0 g,11 g,11 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-persika-edition-25cl-red-bull/2073603
Juice Äpple & päron 2l Bravo,"53,00 kr","2L 26,50 kr/l",45 kcal,180 kJ,0 g,0 g,10 g,10 g,0 g,0 g,,,,,,,,,,,,,,,0.2 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-%C3%A4pple-p%C3%A4ron-2l-bravo/1514835
Vätskeersättning Rehydrate Hallon 500ml HYD,"29,90 kr","0.5L 59,80 kr/l",16 kcal,69 kJ,0 g,0 g,3.6 g,3.6 g,0 g,0.16 g,,,,,11.6 mg,,,0.11 mg,,,1.2 mg,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4tskeers%C3%A4ttning-rehydrate-hallon-500ml-hyd/2105780
Öl Alkoholfri 33cl 6-p Norrlands Guld,"56,00 kr","1.98L 28,28 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-alkoholfri-33cl-6-p-norrlands-guld/1490940
Kokkaffe Mellanrost 450g Gevalia,"95,00 kr","0.45kg 211,11 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokkaffe-mellanrost-450g-gevalia/1528807
Kaffe Pressiado Mörkrost 500g Arvid Nordquist Classic,"103,00 kr","0.5kg 206,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaffe-pressiado-m%C3%B6rkrost-500g-arvid-nordquist-classic/1374551
"Öl 2,8% 50cl Burgenfels","8,90 kr","0.5L 17,80 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-2-8-50cl-burgenfels/1425846
Fruktdryck Apelsin Ekologisk 20cl Festis,"15,90 kr","0.6L 26,50 kr/l",25 kcal,106 kJ,0.5 g,0.1 g,6 g,6 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-apelsin-ekologisk-20cl-festis/2078563
Defence Citrus & fläder 50cl Vitamin Well,"26,90 kr","0.5L 53,80 kr/l exkl pant",17 kcal,71 kJ,0 g,0 g,4.2 g,4.2 g,0 g,0.03 g,,,,,,,,,16 mg,,,,,,0 g,40 µg,1.5 µg,1.2 mg,,1 mg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/defence-citrus-fl%C3%A4der-50cl-vitamin-well/1364487
Smoothie Mango & Passionsfrukt 1l Bravo,"49,90 kr","1L 49,90 kr/l",55 kcal,240 kJ,0 g,0 g,13 g,12 g,0.6 g,0 g,,,,,,,,,,,,,,,0.8 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-mango-passionsfrukt-1l-bravo/2000698
"Läsk Hallonsoda Light 1,5l ICA","19,90 kr","1.5L 13,27 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-hallonsoda-light-1-5l-ica/2050750
"Stilldrink Defence 1,15l Vitamin Well","35,90 kr","1.15L 31,22 kr/l exkl pant",17 kcal,71 kJ,0 g,0 g,4.2 g,4.2 g,0 g,0.03 g,,,,,,,,,16 mg,,,,,,0 g,40 µg,1.5 µg,1.2 mg,,1 mg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stilldrink-defence-1-15l-vitamin-well/2141920
Juice Mango Passion Fruit 1l God Morgon®,"47,90 kr","1L 47,90 kr/l",47 kcal,199 kJ,0.5 g,0 g,10 g,10 g,0.5 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-mango-passion-fruit-1l-god-morgon/1437693
Läsk Crush Päron 50cl Loka,"17,90 kr","0.5L 35,80 kr/l exkl pant",21 kcal,87 kJ,0.5 g,0 g,5 g,4 g,0.5 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-crush-p%C3%A4ron-50cl-loka/1467565
Smoothie Fokus 850ml Brämhults,"62,00 kr","0.85L 72,94 kr/l exkl pant",47 kcal,197 kJ,0 g,0 g,11 g,10 g,0 g,0 g,,,,,30 mg,,0.22 µg,0.13 mg,,,,,,,0.4 g,27 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-fokus-850ml-br%C3%A4mhults/2107374
Läsk Pepsi Max 33cl 6p Pepsi,"53,00 kr","1.98L 26,77 kr/l exkl pant",1 kcal,2 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-pepsi-max-33cl-6p-pepsi/2094890
Läsk Cola Zero 33cl 10-p Coca-Cola,"96,00 kr","3.3L 29,09 kr/l exkl pant",0.3 kcal,1.3 kJ,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-cola-zero-33cl-10-p-coca-cola/2038332
Juice Röd Apelsin 2l Bravo,"53,00 kr","2L 26,50 kr/l",50 kcal,200 kJ,0 g,0 g,11 g,10 g,0 g,0 g,,,,,,,,,40 mg,,,,,,0 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-r%C3%B6d-apelsin-2l-bravo/2101416
Fruktdryck Fruit Crush Apple 1l God Morgon®,"29,90 kr","1L 29,90 kr/l",32 kcal,134 kJ,0 g,0 g,7.6 g,7.2 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-fruit-crush-apple-1l-god-morgon/2118438
Espresso Malet Qualità Rossa 250g Lavazza,"81,00 kr","0.25kg 324,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/espresso-malet-qualit%C3%A0-rossa-250g-lavazza/1007261
Mountain blast Energidryck 500ml Powerade,"25,90 kr","0.5L 51,80 kr/l exkl pant",18 kcal,77 kJ,0 g,0 g,4.1 g,4.1 g,0 g,0.13 g,,,,,,50 mg,,0.11 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mountain-blast-energidryck-500ml-powerade/1001448
Katrinplommonjuice 500ml Friggs,"46,90 kr","0.5L 93,80 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/katrinplommonjuice-500ml-friggs/1023322
Mellanrost Snabbkaffe refill 200g ICA,"77,00 kr","0.2kg 385,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanrost-snabbkaffe-refill-200g-ica/1007087
Vatten Kolsyrad Hallon Grapefrukt 150cl ICA,"11,90 kr","1.5L 7,93 kr/l exkl pant",,,,,,,,,5 mg,49 mg,65 mg,1.3 mg,15 mg,21 mg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-hallon-grapefrukt-150cl-ica/2023838
Läsk Passionsfrukt 150cl ICA,"19,90 kr","1.5L 13,27 kr/l exkl pant",30 kcal,120 kJ,0 g,0 g,7 g,6.9 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-passionsfrukt-150cl-ica/1467266
Energidryck Pink Edition Hallon Sockerfri 25cl Red Bull,"17,90 kr","0.25L 71,60 kr/l exkl pant",2 kcal,11 kJ,0 g,0 g,0 g,0 g,0 g,0.1 g,,,,,,,2 µg,2 mg,,,8 mg,2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-pink-edition-hallon-sockerfri-25cl-red-bull/2149189
Lightdryck Fizz Candy Sockerfri 80cl Zeroh,"37,90 kr","8L 4,74 kr/l exkl pant",0.6 kcal,2.6 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-fizz-candy-sockerfri-80cl-zeroh/2132857
Fruktdryck Jordgubb&Passion 3-p 60cl ICA,"13,90 kr","0.6L 23,17 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-jordgubb-passion-3-p-60cl-ica/2009989
Kolsyrat Vatten Kiwi Smultron Kiwi 50cl Loka,"15,90 kr","0.5L 31,80 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolsyrat-vatten-kiwi-smultron-kiwi-50cl-loka/2155323
"Läsk Pepsi 1,5l","25,90 kr","1.5L 17,27 kr/l exkl pant",18 kcal,78 kJ,0 g,0 g,4.6 g,4.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-pepsi-1-5l/2084374
Stilldrink Passionfrukt Sockerfri 50cl Mer,"16,90 kr","0.5L 33,80 kr/l exkl pant",4 kcal,15 kJ,0 g,0 g,0.6 g,0.5 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stilldrink-passionfrukt-sockerfri-50cl-mer/2055928
"Läsk Pepsi Max Mango 1,5l","25,90 kr","1.5L 17,27 kr/l exkl pant",0.5 kcal,2 kJ,0 g,0 g,0.1 g,0 g,0.1 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-pepsi-max-mango-1-5l/2084376
Smoothie Energi Ananas Jordgubb Banan 850ml Brämhults,"62,00 kr","0.85L 72,94 kr/l exkl pant",56 kcal,235 kJ,0 g,0 g,13 g,12 g,0.5 g,0.01 g,,,,,,,,,40 mg,,,,,,0.8 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-energi-ananas-jordgubb-banan-850ml-br%C3%A4mhults/2062836
"Öl 3,5% 50cl 6-p Pripps Blå","89,00 kr","3L 29,67 kr/l exkl pant",32 kcal,134 kJ,0 g,0 g,2.9 g,0 g,0.3 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-3-5-50cl-6-p-pripps-bl%C3%A5/1399926
Iskaffe 1l ICA,"30,90 kr","1L 30,90 kr/l",34 kcal,143 kJ,0.9 g,0.6 g,4.3 g,4.2 g,2.1 g,0.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-1l-ica/2105128
Blandsaft Jordgubb 500ml BOB,"33,90 kr","4L 8,48 kr/l exkl pant",34 kcal,141 kJ,0 g,0 g,8.2 g,8.1 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blandsaft-jordgubb-500ml-bob/1511375
Iskaffe Ice Espresso & mjölk Ekologisk 230ml Löfbergs,"25,90 kr","0.23L 112,61 kr/l",79 kcal,332 kJ,3.8 g,2.4 g,9.2 g,8.5 g,1.9 g,0.19 g,,,,,,,,,,,,,,,0.2 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-ice-espresso-mj%C3%B6lk-ekologisk-230ml-l%C3%B6fbergs/1493403
Protein Coffee Chocolate Mocha 330ml Starbucks®,"32,90 kr","0.33L 99,70 kr/l",52 kcal,218 kJ,1.1 g,0.7 g,4.1 g,3.8 g,6.1 g,0.13 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/protein-coffee-chocolate-mocha-330ml-starbucks/2151757
Lemonad Nypressad Citron 300ml Brämhults,"31,90 kr","0.3L 106,33 kr/l exkl pant",36 kcal,151 kJ,0 g,0 g,8 g,7.9 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lemonad-nypressad-citron-300ml-br%C3%A4mhults/2062989
Lightdryck Orange Sockerfri 1l Fun Light,"38,90 kr","10L 3,89 kr/l exkl pant",1 kcal,4 kJ,0 g,0 g,0 g,0 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lightdryck-orange-sockerfri-1l-fun-light/1512958
"Pommac Orginal 1,4l","26,90 kr","1.4L 19,21 kr/l exkl pant",30 kcal,140 kJ,0 g,0 g,8 g,8 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pommac-orginal-1-4l/1249052
Energidryck Red Berries 25cl Euroshopper,"9,90 kr","0.25L 39,60 kr/l exkl pant",31 kcal,134 kJ,0.1 g,0 g,7.4 g,7.3 g,0.1 g,0.21 g,,,,,,,1 µg,0.56 mg,,0.56 mg,6.4 mg,2.4 mg,,,0.1 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-red-berries-25cl-euroshopper/2131323
Bryggkaffe Tricolore 450g Lindvalls,"78,00 kr","0.45kg 173,33 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-tricolore-450g-lindvalls/1517976
"Öl Lager 2,8% 50cl Mariestads","11,90 kr","0.5L 23,80 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-lager-2-8-50cl-mariestads/1397559
"Vatten Kolsyrad Naturell 1,5l Loka","15,90 kr","1.5L 10,60 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-naturell-1-5l-loka/1314255
"Vatten Kolsyrat Hallon Rabarber 1,5l Loka","15,90 kr","1.5L 10,60 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrat-hallon-rabarber-1-5l-loka/2125522
Fruktdryck Päron Ekologisk 20cl Festis,"15,90 kr","0.6L 26,50 kr/l",28 kcal,121 kJ,0 g,0 g,6.9 g,6.8 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-p%C3%A4ron-ekologisk-20cl-festis/2078565
Tranbärsdryck Koncentrat 250ml Jokk,"38,90 kr","1L 38,90 kr/l drickklar",60 kcal,230 kJ,0 g,0 g,13 g,13 g,0 g,0 g,,,,,,,,,50 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tranb%C3%A4rsdryck-koncentrat-250ml-jokk/1269610
"Läsk Orange 1,5l Fanta","27,90 kr","1.5L 18,60 kr/l exkl pant",19 kcal,79 kJ,0 g,0 g,4 g,4 g,0 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-orange-1-5l-fanta/2125540
Blandsaft Svarta vinbär 500ml BOB,"33,90 kr","4L 8,48 kr/l exkl pant",33 kcal,139 kJ,0 g,0 g,8.1 g,8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blandsaft-svarta-vinb%C3%A4r-500ml-bob/1511368
Hallonjuice 850ml Brämhults,"54,00 kr","0.85L 63,53 kr/l exkl pant",43 kcal,180 kJ,0 g,0 g,9.9 g,9.8 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hallonjuice-850ml-br%C3%A4mhults/2062848
Läsk Crush Smultron 140cl Loka,"28,90 kr","1.4L 20,64 kr/l exkl pant",22 kcal,90 kJ,0 g,0 g,5 g,4.2 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-crush-smultron-140cl-loka/2110686
"Vatten Kolsyrad Citron 1,5l Loka","15,90 kr","1.5L 10,60 kr/l exkl pant",0 kcal,0 kJ,0 g,0 g,0 g,0 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vatten-kolsyrad-citron-1-5l-loka/1314256
"Bryggkaffe, mellanrost, 450g, Lindvalls kaffe","78,00 kr","0.45kg 173,33 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bryggkaffe-mellanrost-450g-lindvalls-kaffe/1518047
"Lättöl 2,2% 33cl Pripps Blå","9,90 kr","0.33L 30,00 kr/l exkl pant",23 kcal,98 kJ,0 g,0 g,2.5 g,0 g,0.3 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4tt%C3%B6l-2-2-33cl-pripps-bl%C3%A5/1399572
Fruktdryck Vitt te Äpple Rabarber 850ml God Morgon®,"37,90 kr","0.85L 44,59 kr/l",23 kcal,96 kJ,0 g,0 g,5.3 g,5.1 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-vitt-te-%C3%A4pple-rabarber-850ml-god-morgon/2141255
Fruktdryck Äpple & Blåbär 3-p 60cl ICA,"13,90 kr","0.6L 23,17 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-%C3%A4pple-bl%C3%A5b%C3%A4r-3-p-60cl-ica/2009985
Iskaffe Latte Macchiato Ekologisk 230ml Löfbergs,"25,90 kr","0.23L 112,61 kr/l",72 kcal,305 kJ,2.4 g,1.5 g,9.6 g,9.2 g,3 g,0.34 g,,,,,,,,,,,,,,,0.2 g,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-latte-macchiato-ekologisk-230ml-l%C3%B6fbergs/1493400
"Läsk 7-UP 1,5l","25,90 kr","1.5L 17,27 kr/l exkl pant",19 kcal,82 kJ,0 g,0 g,4.7 g,4.7 g,0 g,0.04 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-7-up-1-5l/1129413
Apelsinjuice med fruktkött 1l ICA,"42,90 kr","1L 42,90 kr/l exkl pant",44 kcal,186 kJ,0.2 g,0.1 g,9.1 g,9.1 g,0.7 g,0 g,,,,,,,,,25 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/apelsinjuice-med-fruktk%C3%B6tt-1l-ica/2038422
Energidryck Valentino Rossi Zero Sugar 50cl Monster Energy,"21,90 kr","0.5L 43,80 kr/l exkl pant",3 kcal,11 kJ,0 g,0 g,0.7 g,0 g,0 g,0.09 g,,,,,,,2.5 µg,0.8 mg,,,8.5 mg,4.2 mg,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/energidryck-valentino-rossi-zero-sugar-50cl-monster-energy/2166485
Läsk 50cl Coca-Cola,"19,90 kr","0.5L 39,80 kr/l exkl pant",42 kcal,180 kJ,0 g,0 g,10.6 g,10.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-50cl-coca-cola/1000780
Tranbärsdryck Classic 1l Ocean Spray,"35,90 kr","1L 35,90 kr/l",50 kcal,211 kJ,0 g,0 g,12.6 g,11.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tranb%C3%A4rsdryck-classic-1l-ocean-spray/2024043
Läsk Forest Berries Zero Sugar 1.5l Fanta,"27,90 kr","1.5L 18,60 kr/l exkl pant",2 kcal,7 kJ,0 g,0 g,0.2 g,0.2 g,0 g,0.02 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4sk-forest-berries-zero-sugar-1-5l-fanta/2168421
Öl Easy Rider Alkoholfri 33cl Gotlands Bryggeri,"19,90 kr","0.33L 60,30 kr/l exkl pant",21 kcal,90 kJ,0.5 g,0.5 g,4 g,0.5 g,0.5 g,0.01 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6l-easy-rider-alkoholfri-33cl-gotlands-bryggeri/2132282
