Name,Price,Size,Energi (kcal),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Vitamin B12,Järn,Energi (kJ),Vitamin D,Riboflavin,Kalcium,Jod,Folsyra,Varav enkelomättat fett,Varav polyoler,Natrium,Varav fleromättat fett,Vitamin A,Magnesium,Zink,Vitamin E,Vitamin B6,url
Sojadryck Protein Vanilj 1000ml Alpro,"30,90 kr","1L 30,90 kr/l",67 kcal,2.8 g,0.5 g,4.8 g,4.8 g,0.9 g,5 g,0.12 g,0.38 µg,,281 kJ,0.75 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojadryck-protein-vanilj-1000ml-alpro/2134414
Herb & Garlicsauce 200g Farmers & Chefs,"32,90 kr","0.2kg 164,50 kr/kg",380 kcal,40 g,2.8 g,4.3 g,1.3 g,,0.6 g,1.5 g,,,1600 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/herb-garlicsauce-200g-farmers-chefs/2141681
Ost Parveggio Riven Vegansk 100g Green Vie,"36,90 kr","0.1kg 369,00 kr/kg",333 kcal,22.7 g,20 g,32 g,0 g,,0.1 g,2.9 g,2.54 µg,,1386 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ost-parveggio-riven-vegansk-100g-green-vie/2027165
Havregurt Jordgubb 2% 1l Oatly,"42,90 kr","1kg 42,90 kr/kg",83 kcal,1.9 g,0.2 g,15 g,8.3 g,0.9 g,1 g,0.11 g,0.38 µg,,350 kJ,1.1 µg,0.21 mg,133 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregurt-jordgubb-2-1l-oatly/1471186
Tofu Färsk Tärnad Friterad 200g Yipin,"40,90 kr","0.2kg 204,50 kr/kg",179 kcal,11 g,1.3 g,3 g,0.1 g,,17 g,1 g,,,748 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tofu-f%C3%A4rsk-t%C3%A4rnad-friterad-200g-yipin/2140308
Tutti Frutti Sour 180g Fazer,"25,90 kr","0.18kg 143,89 kr/kg",363 kcal,0.5 g,0.1 g,90 g,62 g,,0.5 g,0.27 g,,,1526 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tutti-frutti-sour-180g-fazer/1514847
Mjukost creamy original vegansk 200g Violife,"40,90 kr","0.2kg 204,50 kr/kg",237 kcal,24 g,22 g,5 g,0 g,,0 g,1 g,2.5 µg,,977 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mjukost-creamy-original-vegansk-200g-violife/2033566
Havredryck Dumle Barista 1000ml Fazer Aito,"22,90 kr","1L 22,90 kr/l",65 kcal,2.6 g,0.2 g,9.6 g,4.8 g,,0.9 g,0.1 g,0.38 µg,,276 kJ,1 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-dumle-barista-1000ml-fazer-aito/2169085
Ärtdryck Barista Zero 1l Sproud,"26,90 kr","1L 26,90 kr/l",30 kcal,3 g,0.2 g,0 g,0 g,,2 g,0.13 g,0.38 µg,,140 kJ,1 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4rtdryck-barista-zero-1l-sproud/2024983
Pulled BBQ Chunks 280g Oumph,"55,00 kr","0.28kg 196,43 kr/kg",115 kcal,0 g,0 g,11 g,9.4 g,4.7 g,14 g,1.5 g,,2.4 mg,480 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pulled-bbq-chunks-280g-oumph/2094012
Havredryck Barista Glutenfri 3% 1l Oddlygood®,"24,90 kr","1L 24,90 kr/l",58 kcal,3 g,0.3 g,6.6 g,3.5 g,0.4 g,1.2 g,0.1 g,0.4 µg,,244 kJ,1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-barista-glutenfri-3-1l-oddlygood/2044852
Tofu rökt 200g ICA Basic,"21,90 kr","0.2kg 109,50 kr/kg",122 kcal,6.4 g,1 g,0.5 g,0.5 g,,14 g,1.7 g,,,508 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tofu-r%C3%B6kt-200g-ica-basic/2115938
Blue cheese vegan Glutenfri Laktosfri 200g Green Vie,"43,90 kr","0.2kg 219,50 kr/kg",293 kcal,24 g,21 g,19 g,0 g,,0.5 g,2.5 g,2.5 µg,,1224 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blue-cheese-vegan-glutenfri-laktosfri-200g-green-vie/2045081
Sojaprodukt Greek Style Mango Växtbaserat 400g Alpro,"35,90 kr","0.4kg 89,75 kr/kg",84 kcal,3 g,0.5 g,8.4 g,8.1 g,1.2 g,5.2 g,0.26 g,0.38 µg,,354 kJ,0.75 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojaprodukt-greek-style-mango-v%C3%A4xtbaserat-400g-alpro/2134415
Vegobullar Glutenfri Fryst 900g Anamma,"114,00 kr","0.9kg 126,67 kr/kg",160 kcal,10 g,0.8 g,4.7 g,0.7 g,4.2 g,11 g,1 g,,,668 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegobullar-glutenfri-fryst-900g-anamma/2011325
Plant-based Schnitzel 720g Hälsans Kök,"107,00 kr","0.72kg 148,61 kr/kg",222 kcal,12 g,1.2 g,11.8 g,0.6 g,6.2 g,13.5 g,0.8 g,,,924 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/plant-based-schnitzel-720g-h%C3%A4lsans-k%C3%B6k/2101404
Schnitzel vego 200g ICA,"36,90 kr","0.2kg 184,50 kr/kg",238 kcal,8.9 g,1.1 g,22 g,1.4 g,3.4 g,16 g,1.5 g,0.38 µg,2.1 mg,999 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/schnitzel-vego-200g-ica/2099919
Sojafärs Fryst 750g ICA,"75,00 kr","0.75kg 100,00 kr/kg",186 kcal,9.7 g,0.6 g,7.1 g,2.3 g,5.2 g,15 g,1.1 g,,,776 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojaf%C3%A4rs-fryst-750g-ica/2038071
Vegetariska sojafiléer OVO Fryst 300g Hälsans Kök,"53,00 kr","0.3kg 176,67 kr/kg",148 kcal,4 g,0.5 g,9.4 g,2.7 g,5.8 g,15.8 g,1.3 g,,,623 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegetariska-sojafil%C3%A9er-ovo-fryst-300g-h%C3%A4lsans-k%C3%B6k/1330343
Plantgurt Protein Red Berries 200g Alpro,"22,90 kr","0.2kg 114,50 kr/kg",81 kcal,2.2 g,0.4 g,7 g,6.8 g,1.1 g,7.5 g,0.18 g,0.38 µg,,342 kJ,0.75 µg,,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/plantgurt-protein-red-berries-200g-alpro/2142017
Vegofärs Glutenfri Fryst 1kg Anamma,"114,00 kr","1kg 114,00 kr/kg",171 kcal,9.5 g,0.7 g,1.8 g,0.9 g,5.5 g,17 g,0.7 g,,,715 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegof%C3%A4rs-glutenfri-fryst-1kg-anamma/2011324
Iskaffe Havrelatte Caramel 235ml Oatly,"26,90 kr","0.235L 114,47 kr/l",64 kcal,2 g,0.2 g,10 g,6.8 g,0.9 g,1.1 g,0.17 g,,,269 kJ,,,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-havrelatte-caramel-235ml-oatly/2151426
Mozzarella vegansk 250g Greenvie,"43,90 kr","0.25kg 175,60 kr/kg",305 kcal,23.5 g,21 g,23 g,0 g,,0.3 g,1.2 g,,,1265 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mozzarella-vegansk-250g-greenvie/2027168
