Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Vitamin B12,Vitamin D,Kalcium,Varav fleromättat fett,Varav enkelomättat fett,Vitamin A,Fiber,Vitamin C,Riboflavin,Jod,Pantotensyra,Kalium,Klorid,Fosfor,Molybden,Vitamin K,Natrium,Vitamin E,Magnesium,Selen,Zink,Folsyra,Järn,Vitamin B6,Niacin,Biotin,Tiamin,Varav polyoler,url
Yoghurt Original Blåbär 2% 1000g Yoggi®,"36,90 kr","1kg 36,90 kr/kg",80 kcal,340 kJ,2 g,1.3 g,11 g,11 g,3.3 g,0.07 g,,0.93 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-bl%C3%A5b%C3%A4r-2-1000g-yoggi/2023876
Matfett med Smör och Havssalt 70% 500g Flora,"48,90 kr","0.5kg 97,80 kr/kg",633 kcal,2601 kJ,70 g,24 g,0.5 g,0.5 g,0.5 g,1.7 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matfett-med-sm%C3%B6r-och-havssalt-70-500g-flora/2151656
Margarin Flytande 80% 500ml ICA,"24,90 kr","0.5L 49,80 kr/l",700 kcal,2950 kJ,80 g,8 g,0.5 g,0.5 g,0.5 g,1.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/margarin-flytande-80-500ml-ica/1309531
Proteinyoghurt Mango Passion Laktosfri 2% 1000g Lindahls,"37,90 kr","1kg 37,90 kr/kg",50 kcal,230 kJ,2 g,1.2 g,3.9 g,3.6 g,5 g,0.1 g,,0.9 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinyoghurt-mango-passion-laktosfri-2-1000g-lindahls/2096355
Chokladmjölk Pucko® Original 270ml Cocio,"20,90 kr","0.27L 77,41 kr/l",67 kcal,283 kJ,1.6 g,1 g,9.5 g,9.4 g,3.5 g,0.14 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladmj%C3%B6lk-pucko-original-270ml-cocio/1403356
Mozzarella 125g ICA Basic,"15,90 kr","0.125kg 127,20 kr/kg u. spad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mozzarella-125g-ica-basic/1410861
Vispgrädde Färsk 40% 5dl ICA,"40,90 kr","0.5L 81,80 kr/l",370 kcal,1550 kJ,40 g,26 g,3 g,3 g,2.1 g,0.1 g,,,,,,370 µg,,,,,,,,,,12 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vispgr%C3%A4dde-f%C3%A4rsk-40-5dl-ica/1465408
Smör & Raps Mellan 57% 500g Bregott®,"69,00 kr","0.5kg 138,00 kr/kg",515 kcal,2118 kJ,57 g,19 g,0.3 g,0.3 g,0.2 g,1 g,,20 µg,,9.4 g,25 g,950 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-raps-mellan-57-500g-bregott/2129120
Yoghurt Original Skogsbär 2% Laktosfri 1000g Yoggi®,"39,90 kr","1kg 39,90 kr/kg",78 kcal,331 kJ,2 g,1.3 g,11 g,10 g,3.4 g,0.08 g,,0.94 µg,107 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-original-skogsb%C3%A4r-2-laktosfri-1000g-yoggi/1441972
Präst® ost 17% ca 720g Arla Ko®,Ca,"Ca 0.72kg 209,00 kr/kg",277 kcal,1156 kJ,17 g,11 g,0 g,0 g,30 g,1.2 g,1.8 µg,,898 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pr%C3%A4st-ost-17-ca-720g-arla-ko/1265129
"Mellanmjölk 1,5% Ekologisk 3dl Arla Ko®","10,90 kr","0.3L 36,33 kr/l",47 kcal,195 kJ,1.5 g,1 g,4.7 g,4.7 g,3.5 g,0.09 g,0.4 µg,1 µg,124 mg,,,,,,0.14 mg,,0.5 mg,160 mg,92 mg,139 mg,3.8 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanmj%C3%B6lk-1-5-ekologisk-3dl-arla-ko/1297118
Juice Tropisk 900ml Innocent,"47,90 kr","0.9L 53,22 kr/l exkl pant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-tropisk-900ml-innocent/2052854
Proteinsojadryck 1000ml Alpro,"30,90 kr","1L 30,90 kr/l",57 kcal,239 kJ,2.8 g,0.5 g,2.5 g,2.5 g,5 g,0.1 g,0.38 µg,0.75 µg,120 mg,,,,0.9 g,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinsojadryck-1000ml-alpro/2142147
Proteinmilkshake ProPud Chocolate Laktosfri 330ml NJIE,"26,90 kr","0.33L 81,52 kr/l",58 kcal,243 kJ,1.5 g,0.9 g,4.9 g,4.9 g,6.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmilkshake-propud-chocolate-laktosfri-330ml-njie/1514209
Crème fraiche 32% 2dl ICA,"18,90 kr","0.2L 94,50 kr/l",310 kcal,1300 kJ,32 g,20 g,2.4 g,2.4 g,2.4 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cr%C3%A8me-fraiche-32-2dl-ica/1528077
Yoghurt Strawberry Refresh 3% 1000g Verum,"38,90 kr","1kg 38,90 kr/kg",70 kcal,310 kJ,3 g,1.9 g,8.1 g,7.7 g,3.1 g,0.1 g,,0.88 µg,130 mg,,,,,13 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-strawberry-refresh-3-1000g-verum/2169031
Shot Ingefära Kallpressad 500ml ICA Selection,"78,00 kr","0.5L 156,00 kr/l exkl pant",36 kcal,155 kJ,0 g,0 g,8.6 g,7.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/shot-ingef%C3%A4ra-kallpressad-500ml-ica-selection/2127586
"Havredryck Vanilj 2,6% 1l Oatly","22,90 kr","1L 22,90 kr/l",68 kcal,285 kJ,2.6 g,0.3 g,9.6 g,5.9 g,1.1 g,0.11 g,0.38 µg,1.1 µg,120 mg,,,,0.8 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-vanilj-2-6-1l-oatly/2102124
Proteinyoghurt Jordgubb Laktosfri 2% 1000g Lindahls,"37,90 kr","1kg 37,90 kr/kg",50 kcal,230 kJ,2 g,1.2 g,3.8 g,3.4 g,5 g,0.1 g,,0.9 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinyoghurt-jordgubb-laktosfri-2-1000g-lindahls/2096354
Grekisk Yoghurt Mild Naturell 6% Laktosfri 1000g Arla Ko®,"40,90 kr","1kg 40,90 kr/kg",85 kcal,352 kJ,6 g,3.9 g,3.6 g,3.6 g,3.4 g,0.08 g,,,118 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grekisk-yoghurt-mild-naturell-6-laktosfri-1000g-arla-ko/2000646
Smoothie Äpple Banan Ananas 1000ml Bravo,"49,90 kr","1L 49,90 kr/l",54 kcal,228 kJ,0 g,0 g,12 g,12 g,0.5 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-%C3%A4pple-banan-ananas-1000ml-bravo/2141512
Cheddar mild 32% ca 500g Kvibille,Ca,"Ca 0.5kg 245,00 kr/kg",388 kcal,1607 kJ,32 g,20 g,0 g,0 g,24 g,1.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cheddar-mild-32-ca-500g-kvibille/1280666
"Kvarg Vaniljsmak 0,2% 150g Lindahls","14,90 kr","0.15kg 99,33 kr/kg",60 kcal,240 kJ,0.2 g,0 g,3.5 g,3.2 g,10 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-vaniljsmak-0-2-150g-lindahls/1486734
Havtornsdryck Ekologisk 1l KRAV Finnerödja,"41,90 kr","1L 41,90 kr/l",49 kcal,206 kJ,0.8 g,0.1 g,9.2 g,9.1 g,0.1 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havtornsdryck-ekologisk-1l-krav-finner%C3%B6dja/1506293
"Filmjölk Jordgubb Kiwi 3,5% 1000g Verum®","36,90 kr","1kg 36,90 kr/kg",80 kcal,330 kJ,3.5 g,2.3 g,8 g,7.6 g,3 g,0.1 g,,0.88 µg,130 mg,,,,,13 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filmj%C3%B6lk-jordgubb-kiwi-3-5-1000g-verum/2151634
Fruktdryck Blodapelsin Äpple 1000ml God Morgon,"48,90 kr","1L 48,90 kr/l",42 kcal,176 kJ,0 g,0 g,9.1 g,8.6 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktdryck-blodapelsin-%C3%A4pple-1000ml-god-morgon/2151620
Proteinmilkshake Choklad 330ml Barebells,"33,90 kr","0.33L 102,73 kr/l",57 kcal,240 kJ,1.3 g,0.8 g,3.6 g,3.5 g,7.3 g,0.2 g,,,,,,,,,,,,,,,,,80 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmilkshake-choklad-330ml-barebells/2005986
"Sojadessert Dark Chocolate 2,3% 125g 4-p Alpro","38,90 kr","0.5kg 77,80 kr/kg",94 kcal,396 kJ,2.3 g,0.8 g,14.7 g,11.8 g,3 g,0.14 g,0.38 µg,0.75 µg,120 mg,,,,1.4 g,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojadessert-dark-chocolate-2-3-125g-4-p-alpro/1514191
"Kvarg Naturell 0,3% 500g Lindahls","31,90 kr","0.5kg 63,80 kr/kg",60 kcal,250 kJ,0.3 g,0.2 g,3.4 g,3.4 g,11 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-naturell-0-3-500g-lindahls/1465101
Äppeljuice Cloudy 1l ICA,"39,90 kr","1L 39,90 kr/l exkl pant",45 kcal,190 kJ,0.1 g,0 g,10 g,9.9 g,0.1 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4ppeljuice-cloudy-1l-ica/2038424
"Mandeldryck Osötad 1,1% 1l Alpro","33,90 kr","1L 33,90 kr/l",15 kcal,61 kJ,1.1 g,0.1 g,0 g,0 g,0.5 g,0.15 g,0.38 µg,0.75 µg,120 mg,,,,0.3 g,,0.21 mg,,,,,,,,,1.8 mg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mandeldryck-os%C3%B6tad-1-1-1l-alpro/1447467
Smoothie Blåbär Hallon Svarta vinbär 300ml Brämhults,"36,90 kr","0.3L 123,00 kr/l exkl pant",54 kcal,226 kJ,0 g,0 g,12 g,11 g,0.6 g,0.01 g,,,,,,,1 g,85 mg,,,,,,,,,,1.8 mg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/smoothie-bl%C3%A5b%C3%A4r-hallon-svarta-vinb%C3%A4r-300ml-br%C3%A4mhults/2063033
Protein Choklad Pudding Laktosfri 200g Arla®,"20,90 kr","0.2kg 104,50 kr/kg",76 kcal,320 kJ,1.5 g,0.9 g,7 g,4.7 g,10 g,0.21 g,,1.5 µg,200 mg,,,,,,,,,,,,,,,,28.2 mg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/protein-choklad-pudding-laktosfri-200g-arla/2129139
Vispgrädde Färsk Ekologisk 40% 3dl Arla Ko®,"37,90 kr","0.3L 126,33 kr/l",375 kcal,1565 kJ,40 g,26 g,2.9 g,2.9 g,2.2 g,0.05 g,,,,,,344 µg,,,,,,,,,,13 µg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vispgr%C3%A4dde-f%C3%A4rsk-ekologisk-40-3dl-arla-ko/2012561
Grekisk Yoghurt Mild Naturell 6% 1000g Arla Ko®,"38,90 kr","1kg 38,90 kr/kg",84 kcal,352 kJ,6 g,3.9 g,3.6 g,3.6 g,3.4 g,0.08 g,,,119 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grekisk-yoghurt-mild-naturell-6-1000g-arla-ko/2032485
"Proteinmilkshake ProPud Cappuccino Laktosfri 1,5% 330ml NJIE","26,90 kr","0.33L 81,52 kr/l",58 kcal,243 kJ,1.5 g,0.9 g,4.9 g,4.9 g,6.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmilkshake-propud-cappuccino-laktosfri-1-5-330ml-njie/1527488
Yoghurt Mango & Banan med granola 190g Tine,"21,90 kr","0.19kg 115,26 kr/kg",116 kcal,487 kJ,3.3 g,1.8 g,15 g,9.4 g,4.5 g,0.11 g,,,,,,,3.2 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/yoghurt-mango-banan-med-granola-190g-tine/2141774
Mellanmål Jordgubb Vegansk 165g RisiFrutti,"18,90 kr","0.165kg 114,55 kr/kg",105 kcal,440 kJ,3.3 g,2.1 g,18 g,8.5 g,1 g,0.15 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanm%C3%A5l-jordgubb-vegansk-165g-risifrutti/2085885
Havredryck Professional Barista 1000ml Fazer Aito,"29,90 kr","1L 29,90 kr/l",62 kcal,260 kJ,3 g,0.3 g,7.8 g,1.6 g,1.1 g,0.1 g,0.38 µg,1 µg,120 mg,,,,,,0.21 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-professional-barista-1000ml-fazer-aito/2169091
Kantarellost 330g Kavli,"62,00 kr","0.33kg 187,88 kr/kg",200 kcal,800 kJ,15 g,9.1 g,0.7 g,0.3 g,15 g,3.3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kantarellost-330g-kavli/2011614
"Mellanmjölkdryck Laktosfri 1,5% 1l Arla Ko®","24,90 kr","1L 24,90 kr/l",37 kcal,154 kJ,1.5 g,1 g,2.4 g,2.4 g,3.4 g,0.08 g,0.4 µg,1 µg,112 mg,,,,,,0.13 mg,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mellanmj%C3%B6lkdryck-laktosfri-1-5-1l-arla-ko/1354120
Havregurt Jordgubb 2% 1l Oatly,"42,90 kr","1kg 42,90 kr/kg",83 kcal,350 kJ,1.9 g,0.2 g,15 g,8.3 g,1 g,0.11 g,0.38 µg,1.1 µg,133 mg,,,,0.9 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havregurt-jordgubb-2-1l-oatly/1471186
Gräddfil 12% 5dl ICA,"26,90 kr","0.5L 53,80 kr/l",140 kcal,550 kJ,12 g,7.7 g,3.4 g,3.4 g,3.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddfil-12-5dl-ica/1289508
Äppeljuice Koncentrat 2dl ICA,"17,90 kr","1L 17,90 kr/l drickklar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4ppeljuice-koncentrat-2dl-ica/1411007
"Kvarg Blåbär 0,2% 500g Lindahls","35,90 kr","0.5kg 71,80 kr/kg",60 kcal,240 kJ,0.2 g,0 g,3.6 g,3.2 g,10 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-bl%C3%A5b%C3%A4r-0-2-500g-lindahls/1486729
Salladsost Oriental 800g Oriental White,"73,00 kr","0.8kg 91,25 kr/kg u. spad",223 kcal,924 kJ,19 g,9.4 g,2 g,2 g,11 g,3 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salladsost-oriental-800g-oriental-white/2000685
Proteinmilkshake Hallon Laktosfri 330ml Barebells,"33,90 kr","0.33L 102,73 kr/l",59 kcal,250 kJ,1.4 g,0.9 g,4.1 g,3.7 g,7.3 g,0.21 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmilkshake-hallon-laktosfri-330ml-barebells/2105381
"Färsk standardmjölk Ekologisk 3,0% 1l Arla Ko®","20,90 kr","1L 20,90 kr/l",59 kcal,248 kJ,3 g,1.9 g,4.6 g,4.6 g,3.5 g,0.09 g,0.4 µg,1 µg,124 mg,,,,,,0.14 mg,,0.5 mg,160 mg,92 mg,139 mg,3.8 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-standardmj%C3%B6lk-ekologisk-3-0-1l-arla-ko/1390116
"Lättyoghurt Naturell Mild 0,5% 1000g Arla Ko®","24,90 kr","1kg 24,90 kr/kg",39 kcal,166 kJ,0.5 g,0.3 g,3.9 g,3.9 g,4.1 g,0.09 g,,1 µg,128 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4ttyoghurt-naturell-mild-0-5-1000g-arla-ko/2032486
Iskaffe Havrelatte Caramel 235ml Oatly,"26,90 kr","0.235L 114,47 kr/l",64 kcal,269 kJ,2 g,0.2 g,10 g,6.8 g,1.1 g,0.17 g,,,120 mg,,,,0.9 g,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/iskaffe-havrelatte-caramel-235ml-oatly/2151426
Tranbärsdryck 1l Jokk,"42,90 kr","1L 42,90 kr/l",44 kcal,186 kJ,0 g,0 g,11 g,11 g,0 g,0 g,,,,,,,,40 mg,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tranb%C3%A4rsdryck-1l-jokk/2107607
Mozzarella vegansk 250g Greenvie,"43,90 kr","0.25kg 175,60 kr/kg",305 kcal,1265 kJ,23.5 g,21 g,23 g,0 g,0.3 g,1.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mozzarella-vegansk-250g-greenvie/2027168
"Kvarg Vaniljsmak 0,2% 500g Lindahls","35,90 kr","0.5kg 71,80 kr/kg",60 kcal,240 kJ,0.2 g,0 g,3.5 g,3.2 g,10 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-vaniljsmak-0-2-500g-lindahls/1498833
Juice Tropical 1l God Morgon®,"35,90 kr","1L 35,90 kr/l",45 kcal,189 kJ,0 g,0 g,11 g,10 g,0 g,0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/juice-tropical-1l-god-morgon/2075527
Kvarg Vanilj Laktosfri 7% 200g Valio,"20,90 kr","0.2kg 104,50 kr/kg",157 kcal,660 kJ,7 g,4.1 g,16 g,15 g,7.2 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kvarg-vanilj-laktosfri-7-200g-valio/1470801
Filmjölk 3% Laktosfri Ekologisk 1000g Arla Ko®,"35,90 kr","1kg 35,90 kr/kg",52 kcal,216 kJ,3 g,1.9 g,1.8 g,1.8 g,3.7 g,0.09 g,,1 µg,122 mg,,,,,,,,,,,138 mg,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filmj%C3%B6lk-3-laktosfri-ekologisk-1000g-arla-ko/1493353
"Drickkvarg Yalla Jordgubb & Granatäpple Laktosfri 0,3% 350ml Yalla®","24,90 kr","0.35L 71,14 kr/l",50 kcal,200 kJ,0.3 g,0.2 g,4.4 g,3.9 g,6 g,0.11 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/drickkvarg-yalla-jordgubb-granat%C3%A4pple-laktosfri-0-3-350ml-yalla/2000668
Brunchägg Frigående L 6-p ICA,"29,90 kr","6 per frp 4,98 kr/st",140 kcal,600 kJ,9.7 g,2.6 g,0.5 g,0.5 g,12 g,0.4 g,1.5 µg,1.4 µg,,,,233 µg,,,0.5 mg,28.6 µg,,,,,,,,5.6 mg,,22.7 µg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/brunch%C3%A4gg-frig%C3%A5ende-l-6-p-ica/2040167
Protein Coffee Caramel Hazelnut 330ml Starbucks®,"32,90 kr","0.33L 99,70 kr/l",51 kcal,215 kJ,1.1 g,0.7 g,4 g,3.8 g,6.1 g,0.13 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/protein-coffee-caramel-hazelnut-330ml-starbucks/2151763
Mjukost i portion 120 g Den skrattande kon,"28,90 kr","0.12kg 240,83 kr/kg",173 kcal,723 kJ,11.5 g,7.7 g,4.7 g,4.7 g,12.5 g,2 g,,,375 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mjukost-i-portion-120-g-den-skrattande-kon/2128258
Burgarchedda lagrad 86g Väddö Gårdsmejeri,"53,00 kr","0.086kg 616,28 kr/kg",385 kcal,1602 kJ,28.5 g,17.9 g,7.8 g,0.5 g,24.4 g,4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/burgarchedda-lagrad-86g-v%C3%A4dd%C3%B6-g%C3%A5rdsmejeri/2117304
Matlagningsgrädde Laktosfri 13% 5dl ICA,"35,90 kr","0.5L 71,80 kr/l",146 kcal,603 kJ,13 g,8.3 g,4.1 g,4.1 g,3.1 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matlagningsgr%C3%A4dde-laktosfri-13-5dl-ica/1455189
Färsk standardmjölk 3% 1l Arla Ko®,"19,90 kr","1L 19,90 kr/l",59 kcal,248 kJ,3 g,1.9 g,4.6 g,4.6 g,3.5 g,0.09 g,0.4 µg,1 µg,124 mg,,,,,,0.14 mg,,0.5 mg,160 mg,92 mg,139 mg,3.8 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-standardmj%C3%B6lk-3-1l-arla-ko/1201422
"Matlagningsgrädde 13% 2,5dl ICA","18,90 kr","0.25L 75,60 kr/l",146 kcal,603 kJ,13 g,8.3 g,4.1 g,4.1 g,3.1 g,0.08 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matlagningsgr%C3%A4dde-13-2-5dl-ica/1520808
Kesella® kvarg 10% 250g Arla Köket®,"20,90 kr","0.25kg 83,60 kr/kg",140 kcal,600 kJ,10 g,7 g,3.5 g,3.5 g,9.7 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kesella-kvarg-10-250g-arla-k%C3%B6ket/1201966
"Grekisk Yoghurt Citron 0,2% 200g Arla®","17,90 kr","0.2kg 89,50 kr/kg",60 kcal,240 kJ,0.2 g,0.1 g,4.4 g,3.8 g,8.7 g,0.16 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grekisk-yoghurt-citron-0-2-200g-arla/2080623
Havredryck iKaffe Barista 3% 500ml Oatly,"18,90 kr","0.5L 37,80 kr/l",61 kcal,257 kJ,3 g,0.3 g,7.1 g,3.4 g,1.1 g,0.1 g,0.38 µg,1.1 µg,120 mg,,,,0.8 g,,0.21 mg,22.5 µg,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-ikaffe-barista-3-500ml-oatly/2092364
"Proteinyoghurt Mango 0,6% 200g Arla®","22,90 kr","0.2kg 114,50 kr/kg",70 kcal,299 kJ,0.6 g,0.3 g,5.4 g,5.1 g,10 g,0.13 g,,,213 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinyoghurt-mango-0-6-200g-arla/2135097
"Fruktyoghurt Jordgubb & Vanilj 1,8% Ekologisk 1000g Arla Ko®","37,90 kr","1kg 37,90 kr/kg",74 kcal,314 kJ,1.8 g,1.2 g,10 g,9.8 g,3.5 g,0.09 g,,0.94 µg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fruktyoghurt-jordgubb-vanilj-1-8-ekologisk-1000g-arla-ko/2032855
Lätt crème fraiche 13% 2dl Arla Köket®,"17,90 kr","0.2L 89,50 kr/l",150 kcal,600 kJ,13 g,8.3 g,3.9 g,3.3 g,3.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%A4tt-cr%C3%A8me-fraiche-13-2dl-arla-k%C3%B6ket/1271167
Smör & Raps Normalsaltat 75% 500g Bregott®,"69,00 kr","0.5kg 138,00 kr/kg",678 kcal,2789 kJ,75 g,33 g,0.4 g,0.4 g,0.4 g,1.2 g,,20 µg,,8.7 g,28 g,950 µg,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6r-raps-normalsaltat-75-500g-bregott/2129122
"Proteinmilkshake ProPud Cookies N´Cream Laktosfri 1,5% 330ml NJIE","26,90 kr","0.33L 81,52 kr/l",58 kcal,243 kJ,1.5 g,0.9 g,4.9 g,4.9 g,6.1 g,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinmilkshake-propud-cookies-n-cream-laktosfri-1-5-330ml-njie/2057862
Ädel Grädd 36% Blåmögelost 140g Kvibille®,"42,90 kr","0.14kg 306,43 kr/kg",398 kcal,1647 kJ,36 g,23 g,0.5 g,0.5 g,18 g,3 g,,,471 mg,,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4del-gr%C3%A4dd-36-bl%C3%A5m%C3%B6gelost-140g-kvibille/1131646
