Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Varav polyoler,Vitamin B12,Vitamin D,Folsyra,Selen,Vitamin A,Natrium,Kalcium,Järn,Material,Varav fleromättat fett,Varav enkelomättat fett,Vitamin C,Riboflavin,url
Edamame bönor Fryst 500g ICA Selection,"33,90 kr","0.5kg 67,80 kr/kg",130 kcal,546 kJ,6.4 g,0.7 g,4.9 g,1.7 g,5.1 g,11 g,0.02 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/edamame-b%C3%B6nor-fryst-500g-ica-selection/1346431
Löjrom Fryst 80g Pandalus,"161,00 kr","0.08kg 2 012,50 kr/kg",160 kcal,680 kJ,8.5 g,1.9 g,3.9 g,0.5 g,,17 g,3.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%B6jrom-fryst-80g-pandalus/1323492
Sockerärtor Fryst 200g ICA,"32,90 kr","0.2kg 164,50 kr/kg",50 kcal,220 kJ,0.5 g,0 g,6 g,4 g,6 g,3.5 g,0 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/socker%C3%A4rtor-fryst-200g-ica/2009020
Kaka Cookies Cream Fryst 400g Oreo,"75,00 kr","0.4kg 187,50 kr/kg",365 kcal,1522 kJ,22 g,10 g,36 g,27 g,,4.4 g,0.52 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaka-cookies-cream-fryst-400g-oreo/2000508
Stenugnsbakad pizza Hawaii Fryst 370g ICA,"41,90 kr","0.37kg 113,24 kr/kg",204 kcal,858 kJ,5.7 g,2.6 g,27 g,5.5 g,2.1 g,11 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stenugnsbakad-pizza-hawaii-fryst-370g-ica/1413474
Jordgubbar Fryst 250g ICA,"28,90 kr","0.25kg 115,60 kr/kg",40 kcal,150 kJ,0.5 g,0 g,6.5 g,6.3 g,2 g,0.8 g,0 g,,,,98 µg,,,,,,,,,35 mg,,https://handlaprivatkund.ica.se/stores/1004181/products/jordgubbar-fryst-250g-ica/1026470
Glass Sandwich 6-p ICA,"53,00 kr","6 per frp 8,83 kr/st",319 kcal,1342 kJ,12 g,9.2 g,47 g,24 g,,5.1 g,0.24 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-sandwich-6-p-ica/2076117
Glass Sandwich original 6-p GB Glace,"61,00 kr","6 per frp 10,17 kr/st",187 kcal,785 kJ,7.3 g,6.7 g,27 g,16 g,,3.1 g,0.29 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-sandwich-original-6-p-gb-glace/1330572
Falafel Vegansk Fryst 900g Anamma,"114,00 kr","0.9kg 126,67 kr/kg",305 kcal,1275 kJ,18 g,1.3 g,25 g,1.3 g,5.3 g,9 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/falafel-vegansk-fryst-900g-anamma/2011359
Dumplings Kyckling 400g ICA Basic,"42,90 kr","0.4kg 107,25 kr/kg",159 kcal,670 kJ,3 g,0.1 g,21 g,0.4 g,1.9 g,11 g,0.89 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dumplings-kyckling-400g-ica-basic/2138900
Torskfiléer Fryst 600g ICA,"166,00 kr","0.6kg 276,67 kr/kg",85 kcal,359 kJ,0.5 g,0.1 g,0 g,0 g,,18 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torskfil%C3%A9er-fryst-600g-ica/1430802
Chili sin Carne 400g Findus,"48,90 kr","0.4kg 122,25 kr/kg",95 kcal,398 kJ,2.7 g,0.4 g,13 g,2.4 g,1.8 g,3.7 g,0.51 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chili-sin-carne-400g-findus/2086108
Skaldjurspaj Fryst 220g Felix,"40,90 kr","0.22kg 185,91 kr/kg",275 kcal,1152 kJ,18 g,10 g,17 g,1.3 g,,11 g,0.88 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skaldjurspaj-fryst-220g-felix/1453786
Ananas 250g ICA,"28,90 kr","0.25kg 115,60 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ananas-250g-ica/2043735
Glass Salted Caramel Brownie Peaces 160ml Ben & Jerrys,"72,00 kr","0.16L 450,00 kr/l",391 kcal,1635 kJ,25 g,9.3 g,36 g,31 g,,4.4 g,0.28 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-salted-caramel-brownie-peaces-160ml-ben-jerrys/2143312
Gammaldags gräddglass Mandelkrokant 1.75L Triumf Glass,"39,00 kr","1.75L 22,29 kr/l",200 kcal,850 kJ,9.4 g,6.1 g,26 g,26 g,,2.9 g,0.18 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gammaldags-gr%C3%A4ddglass-mandelkrokant-1-75l-triumf-glass/2101625
Stora blåbär Fryst 250g ICA,"30,90 kr","0.25kg 123,60 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stora-bl%C3%A5b%C3%A4r-fryst-250g-ica/1351640
Köttbullar Klassiska frysta 700g Felix,"103,00 kr","0.7kg 147,14 kr/kg",230 kcal,962 kJ,17 g,6.8 g,5.9 g,1.2 g,,13 g,1.6 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-klassiska-frysta-700g-felix/2012353
Chicken Satay 350g Dafgårds,"51,00 kr","0.35kg 145,71 kr/kg",153 kcal,638 kJ,8.1 g,3.5 g,12 g,2.5 g,1.6 g,7.3 g,0.63 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chicken-satay-350g-dafg%C3%A5rds/2154137
Vegan Grillkorv 400g Peas of Heaven,"48,90 kr","0.4kg 122,25 kr/kg",180 kcal,730 kJ,14 g,4.4 g,3.4 g,0.6 g,,6.8 g,2 g,,1.25 µg,,,,,,,,,,,,0.23 mg,https://handlaprivatkund.ica.se/stores/1004181/products/vegan-grillkorv-400g-peas-of-heaven/2120488
Pommes Chips 600g Felix,"35,90 kr","0.6kg 59,83 kr/kg",104 kcal,434 kJ,5.3 g,0.5 g,12 g,0.5 g,,1 g,0 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pommes-chips-600g-felix/2153705
Kycklingpytt med rotsaker Fryst 700g ICA,"61,00 kr","0.7kg 87,14 kr/kg",110 kcal,450 kJ,3.7 g,0.5 g,12 g,2.9 g,,5.1 g,0.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingpytt-med-rotsaker-fryst-700g-ica/1430237
Pommes strips Fryst 900g Felix,"38,90 kr","0.9kg 43,22 kr/kg",136 kcal,570 kJ,6.9 g,0.5 g,16 g,0.5 g,0 g,1.6 g,0 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pommes-strips-fryst-900g-felix/1006543
Super Crunch Premium Crinkle Fries 750g Aviko,"39,90 kr","0.75kg 53,20 kr/kg",160 kcal,673 kJ,5 g,0.6 g,25 g,1 g,2.5 g,2.5 g,0.15 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/super-crunch-premium-crinkle-fries-750g-aviko/2094369
Chicken nuggets Fryst 350g Guldfågeln,"51,00 kr","0.35kg 145,71 kr/kg",270 kcal,1100 kJ,18 g,6 g,14 g,0.5 g,,12 g,1.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chicken-nuggets-fryst-350g-guldf%C3%A5geln/1008729
Glasspinne Mini mumsbit Jordgubb choklad & mandel 12-p 420g ICA,"61,00 kr","12 per frp 5,08 kr/st",342 kcal,1427 kJ,21 g,14 g,35 g,34 g,,3.7 g,0.27 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-mini-mumsbit-jordgubb-choklad-mandel-12-p-420g-ica/1409340
Citronsorbet 500ml Triumf Glass,"24,90 kr","0.5L 49,80 kr/l",130 kcal,550 kJ,0.5 g,0.5 g,32 g,28 g,,0.5 g,0.02 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/citronsorbet-500ml-triumf-glass/2109092
Oxpytt Nötkött Fryst 750g Findus,"66,00 kr","0.75kg 88,00 kr/kg",141 kcal,589 kJ,5.7 g,0.8 g,16 g,1.9 g,2 g,5.3 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/oxpytt-n%C3%B6tk%C3%B6tt-fryst-750g-findus/2071068
Pizza Pockets Pepperoni 2-p 250g Findus,"39,90 kr","0.25kg 159,60 kr/kg",252 kcal,1058 kJ,8.3 g,3.2 g,33 g,3.1 g,2.7 g,10 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-pockets-pepperoni-2-p-250g-findus/2144456
Gräddglass Churros 500ml Triumf Glass,"22,90 kr","0.5L 45,80 kr/l",220 kcal,950 kJ,12 g,7.5 g,26 g,22 g,,3.2 g,0.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-churros-500ml-triumf-glass/2130079
Glasspinne Gold Caramel 85ml Magnum,"34,90 kr",,325 kcal,1357 kJ,17 g,12 g,38 g,29 g,,4.4 g,0.33 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-gold-caramel-85ml-magnum/2077268
Ugnsgrönsaker Garden Style 500g Findus,"46,90 kr","0.5kg 93,80 kr/kg",62 kcal,258 kJ,1.9 g,0.2 g,8 g,2.5 g,2.8 g,1.7 g,0.39 g,,,,,,255 µg,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ugnsgr%C3%B6nsaker-garden-style-500g-findus/2145777
Kycklinginnerfilé 700g ICA Basic,"63,00 kr","0.7kg 90,00 kr/kg",80 kcal,350 kJ,0.8 g,0.5 g,0 g,0 g,,19 g,0.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklinginnerfil%C3%A9-700g-ica-basic/2038611
Vannameiräkor XXL 400g ICA,"147,00 kr","0.4kg 367,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vannameir%C3%A4kor-xxl-400g-ica/1493521
Crispies Fryst 8-p 370g Findus,"58,00 kr","0.37kg 156,76 kr/kg",247 kcal,1033 kJ,11 g,0.9 g,22 g,0.8 g,1.8 g,14 g,0.76 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/crispies-fryst-8-p-370g-findus/2024855
Thai Cube Panang Curry Chicken 350g Kitchen Joy,"52,00 kr","0.35kg 148,57 kr/kg",152 kcal,638 kJ,4.6 g,3.6 g,21 g,3.7 g,0.9 g,6.1 g,0.61 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/thai-cube-panang-curry-chicken-350g-kitchen-joy/2041645
Västerbottenost crispy bites 180g Lindströms Bites,"38,90 kr","0.18kg 216,11 kr/kg",285 kcal,1195 kJ,14 g,7 g,29 g,2.7 g,,10 g,1.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4sterbottenost-crispy-bites-180g-lindstr%C3%B6ms-bites/2142668
Pizza Tradizionale Speciale Fryst 400g Dr. Oetker,"60,00 kr","0.4kg 150,00 kr/kg",227 kcal,954 kJ,7.9 g,3 g,28 g,3.1 g,1.9 g,9.7 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-tradizionale-speciale-fryst-400g-dr-oetker/2093796
Thai Cube Spicy sesame chicken 320g Kitchen Joy,"52,00 kr","0.32kg 162,50 kr/kg",132 kcal,554 kJ,3.2 g,0.6 g,18 g,7.5 g,2 g,6.7 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/thai-cube-spicy-sesame-chicken-320g-kitchen-joy/2039343
Björnbär Fryst 250g ICA,"29,90 kr","0.25kg 119,60 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bj%C3%B6rnb%C3%A4r-fryst-250g-ica/1123265
Bananglass Oh My Banoffee Pie 257ml Ben & Jerrys,"80,00 kr","0.427L 187,35 kr/l",246 kcal,1032 kJ,13 g,7.8 g,29 g,24 g,,2.6 g,0.27 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bananglass-oh-my-banoffee-pie-257ml-ben-jerrys/2093693
Pizza Vegomexicana Vegansk 350g Anamma,"52,00 kr","0.35kg 148,57 kr/kg",211 kcal,881 kJ,7.7 g,3.9 g,27 g,2.3 g,,7 g,1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-vegomexicana-vegansk-350g-anamma/2045784
Vannilla Pecan Blondie 465ml Ben & Jerrys,"80,00 kr","0.465L 172,04 kr/l",266 kcal,1115 kJ,16 g,8.9 g,27 g,25 g,,4.1 g,0.35 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vannilla-pecan-blondie-465ml-ben-jerrys/2120567
Utopia Double Cherry Glasspinne 1-p Magnum,"34,90 kr",,299 kcal,1252 kJ,14 g,9.6 g,38 g,29 g,1.7 g,2.8 g,0.15 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/utopia-double-cherry-glasspinne-1-p-magnum/2154454
Glass Favorites Rocky Road 825ml GB Glace,"47,90 kr","0.825L 58,06 kr/l",205 kcal,860 kJ,7.8 g,5.6 g,29 g,26 g,1.7 g,3.5 g,0.12 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-favorites-rocky-road-825ml-gb-glace/2130398
Skaldjursmix frysta 350g ICA,"81,00 kr","0.35kg 231,43 kr/kg",67 kcal,285 kJ,1.4 g,0.4 g,0.7 g,0 g,0 g,13 g,1.24 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skaldjursmix-frysta-350g-ica/2053742
Glass Dumlestrut 1-p Fazer,"38,90 kr",,308 kcal,1291 kJ,16 g,11 g,38 g,27 g,,3.1 g,0.33 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-dumlestrut-1-p-fazer/2014829
Svenska Köttbullar 1000g ICA,"94,00 kr","1kg 94,00 kr/kg",250 kcal,1050 kJ,18 g,7 g,9 g,1.8 g,,12 g,1.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svenska-k%C3%B6ttbullar-1000g-ica/2021329
Ostschnitzel 390g Findus,"44,90 kr","0.39kg 115,13 kr/kg",177 kcal,736 kJ,11 g,1.8 g,14 g,2.2 g,1.8 g,4.5 g,0.59 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ostschnitzel-390g-findus/2108489
Pizza Ristorante Mozzarella Fryst 335g Dr. Oetker,"48,90 kr","0.355kg 137,75 kr/kg",238 kcal,998 kJ,11 g,3.9 g,23 g,2.9 g,2.1 g,10 g,0.92 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-ristorante-mozzarella-fryst-335g-dr-oetker/2093811
Glasstrut Tip Top 150ml Heartbrand,"33,90 kr",,348 kcal,1457 kJ,23 g,14 g,34 g,24 g,,3.5 g,0.21 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasstrut-tip-top-150ml-heartbrand/2054706
Söt Frukt & Bärblandning 500g ICA,"41,90 kr","0.5kg 83,80 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s%C3%B6t-frukt-b%C3%A4rblandning-500g-ica/2100955
Hamburgare 8-p 720g ICA,"88,00 kr","0.72kg 122,22 kr/kg",254 kcal,1056 kJ,20 g,8.8 g,4.4 g,0.5 g,,13 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hamburgare-8-p-720g-ica/2161610
Glass Favorites Vanilla 900ml GB Glace,"40,90 kr","0.9L 45,44 kr/l",188 kcal,789 kJ,7.5 g,6.7 g,27 g,22 g,,2.6 g,0.14 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-favorites-vanilla-900ml-gb-glace/2130394
Fiskpinnar Frasiga Fryst 15-p 450g Findus,"54,00 kr","0.45kg 120,00 kr/kg",191 kcal,801 kJ,7.7 g,0.6 g,17 g,0.8 g,0.7 g,13 g,0.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fiskpinnar-frasiga-fryst-15-p-450g-findus/2024864
Calippo Supermix 5-p GB Glace,"61,00 kr","5 per frp 12,20 kr/st",,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/calippo-supermix-5-p-gb-glace/2109026
Pizza Tradizionale Mozzarella E Pesto Fryst 385g Dr. Oetker,"60,00 kr","0.385kg 155,84 kr/kg",239 kcal,1004 kJ,9 g,3.1 g,30 g,3.4 g,2 g,8.7 g,0.94 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizza-tradizionale-mozzarella-e-pesto-fryst-385g-dr-oetker/2093797
Kalops 400g Dafgård,"41,90 kr","0.4kg 104,75 kr/kg",87 kcal,364 kJ,3.7 g,1.3 g,7.5 g,1.8 g,1.2 g,5.4 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kalops-400g-dafg%C3%A5rd/2093874
Skomakarlåda 400g Dafgård,"41,90 kr","0.4kg 104,75 kr/kg",134 kcal,561 kJ,9.2 g,3.4 g,6.8 g,1.4 g,1 g,5.4 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skomakarl%C3%A5da-400g-dafg%C3%A5rd/2093870
Lingon 500g ICA,"55,00 kr","0.5kg 110,00 kr/kg",56 kcal,236 kJ,0.7 g,0 g,11 g,8.1 g,2.6 g,0.5 g,0 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lingon-500g-ica/2125998
Pannbiff 420g Dafgård,"51,00 kr","0.42kg 121,43 kr/kg",128 kcal,535 kJ,8 g,4 g,9 g,2.3 g,1 g,4.5 g,0.99 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pannbiff-420g-dafg%C3%A5rd/2077923
"Gräddglass Himmelsk röra 0,5l Triumf Glass","24,90 kr","0.5L 49,80 kr/l",230 kcal,950 kJ,12 g,6.3 g,27 g,25 g,,2.5 g,0.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-himmelsk-r%C3%B6ra-0-5l-triumf-glass/1456575
Wok Kyckling röd curry Fryst 350g ICA,"43,90 kr","0.35kg 125,43 kr/kg",150 kcal,600 kJ,3.7 g,2.9 g,21 g,3.3 g,1 g,6.4 g,0.9 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wok-kyckling-r%C3%B6d-curry-fryst-350g-ica/1490117
Gräddstuvad oxpytt Fryst 1kg Findus,"84,00 kr","1kg 84,00 kr/kg",133 kcal,557 kJ,7.6 g,2.2 g,12 g,1.1 g,1.7 g,3.2 g,0.56 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddstuvad-oxpytt-fryst-1kg-findus/1432999
Blåbärspaj Fryst 400g Frödinge,"43,90 kr","0.4kg 109,75 kr/kg",275 kcal,1150 kJ,10 g,5.5 g,43 g,20 g,,3.5 g,0.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bl%C3%A5b%C3%A4rspaj-fryst-400g-fr%C3%B6dinge/1388407
Penne rosse piccanti Måltid Fryst 380g Felix,"63,00 kr","0.38kg 165,79 kr/kg",136 kcal,567 kJ,3.6 g,1.9 g,19 g,2.4 g,,5.9 g,0.75 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/penne-rosse-piccanti-m%C3%A5ltid-fryst-380g-felix/1384115
Torskfilé Sprödbakad Fryst 4-p 360g Findus,"80,00 kr","0.36kg 222,22 kr/kg",220 kcal,922 kJ,9.5 g,0.7 g,21 g,0.7 g,1.2 g,12 g,0.69 g,,,,,13 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/torskfil%C3%A9-spr%C3%B6dbakad-fryst-4-p-360g-findus/2024859
Glasspinne Classic 110ml Magnum,"33,90 kr",,217 kcal,909 kJ,13 g,9.2 g,22 g,19 g,,2.3 g,0.09 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-classic-110ml-magnum/2054668
Super Crunch Premium fries 750g Aviko,"39,90 kr","0.75kg 53,20 kr/kg",155 kcal,645 kJ,3.5 g,0.4 g,26.5 g,1 g,2.5 g,2.5 g,0.15 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/super-crunch-premium-fries-750g-aviko/2033432
Glasspinne Push-Up 1p Haribo,"22,90 kr",,157 kcal,656 kJ,3.3 g,3 g,27 g,20 g,3.1 g,2.1 g,0.01 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasspinne-push-up-1p-haribo/2154460
Spagetti Bolognese 400g Dafgård,"41,90 kr","0.4kg 104,75 kr/kg",128 kcal,535 kJ,4.3 g,1.9 g,16 g,2 g,1.4 g,6.3 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spagetti-bolognese-400g-dafg%C3%A5rd/2093867
Tärnad avokado Fryst 250g ICA,"32,90 kr","0.25kg 131,60 kr/kg",144 kcal,604 kJ,14 g,3.6 g,0.5 g,0.5 g,,1.7 g,0.3 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/t%C3%A4rnad-avokado-fryst-250g-ica/1462728
Gräddglass Kolastrutar 6-p 780ml Sia Glass,"59,00 kr","6 per frp 9,83 kr/st",280 kcal,1200 kJ,15 g,10 g,33 g,24 g,0 g,3.6 g,0.2 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddglass-kolastrutar-6-p-780ml-sia-glass/1509552
Glass Kladdkaka 1.5L SIA GLASS,"55,00 kr","1.5L 36,67 kr/l",220 kcal,900 kJ,10 g,6.7 g,27 g,25 g,0 g,4.3 g,0.1 g,0 g,0 µg,0 µg,0 µg,0 µg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-kladdkaka-1-5l-sia-glass/2129995
Glasstrut Lovely Vanilla 1st Choice,"33,90 kr",,301 kcal,1259 kJ,11 g,8 g,48 g,29 g,,1.5 g,0.22 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glasstrut-lovely-vanilla-1st-choice/2102702
Schnitzel Cordon Bleu 400g Findus,"48,90 kr","0.4kg 122,25 kr/kg",151 kcal,633 kJ,6.8 g,1.4 g,15 g,2.9 g,2.6 g,6.2 g,0.73 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/schnitzel-cordon-bleu-400g-findus/2142894
Mozzarellasticks Fryst 250g Lindströms Bites,"38,90 kr","0.25kg 155,60 kr/kg",303 kcal,1273 kJ,15 g,8.4 g,24 g,1.1 g,,16 g,1.5 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mozzarellasticks-fryst-250g-lindstr%C3%B6ms-bites/1426111
Vego Pytt 700g Findus,"70,00 kr","0.7kg 100,00 kr/kg",136 kcal,571 kJ,5.2 g,0.5 g,16 g,1.4 g,2.5 g,5.1 g,0.64 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vego-pytt-700g-findus/2108488
Kanelbullar Fryst 12-p 420g Findus,"48,90 kr","0.42kg 116,43 kr/kg",368 kcal,1551 kJ,11 g,2 g,60 g,24 g,2.7 g,6 g,0.25 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kanelbullar-fryst-12-p-420g-findus/2018357
Burgare Delifresh Plant Beef 4-p 90g Max,"64,00 kr","0.36kg 177,78 kr/kg",291 kcal,1217 kJ,23 g,13 g,5 g,1.7 g,2.3 g,16 g,1.2 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/burgare-delifresh-plant-beef-4-p-90g-max/2054904
Päronsplitt 10-p GB Glace,"56,00 kr","10 per frp 5,60 kr/st",133 kcal,558 kJ,3.2 g,2.9 g,24 g,22 g,,1.4 g,0.07 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/p%C3%A4ronsplitt-10-p-gb-glace/2094358
Pan Pizza Dreamy Mozzarella 170g Billys,"18,90 kr","0.17kg 111,18 kr/kg",240 kcal,1003 kJ,9.6 g,4.1 g,27 g,1.8 g,1.5 g,10 g,1.1 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pan-pizza-dreamy-mozzarella-170g-billys/2101435
Glass Daim Strawberry 825ml GB Glace,"47,90 kr","0.825L 58,06 kr/l",239 kcal,999 kJ,11 g,8.1 g,32 g,27 g,0.5 g,2.6 g,0.23 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-daim-strawberry-825ml-gb-glace/2154425
Grillad Kebab Fryst 500g ICA,"87,00 kr","0.5kg 174,00 kr/kg",310 kcal,1300 kJ,25 g,11 g,2.7 g,0.5 g,,17 g,1.7 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grillad-kebab-fryst-500g-ica/2017975
Risotto Svamp & Vitlök 360g Felix,"61,00 kr","0.36kg 169,44 kr/kg",109 kcal,455 kJ,2.7 g,1.2 g,18 g,1.3 g,,2.8 g,0.75 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/risotto-svamp-vitl%C3%B6k-360g-felix/2143252
Sprödpanerad torskfilé 4-p Fryst 360g ICA,"66,00 kr","0.36kg 183,33 kr/kg",219 kcal,920 kJ,10 g,0.8 g,19 g,0.9 g,0.7 g,13 g,0.76 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spr%C3%B6dpanerad-torskfil%C3%A9-4-p-fryst-360g-ica/1008930
Super Crunch Skinny Fries 600g Aviko,"39,90 kr","0.6kg 66,50 kr/kg",192 kcal,803 kJ,8 g,1 g,27 g,0.2 g,1.8 g,2 g,0.4 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/super-crunch-skinny-fries-600g-aviko/2120560
Glass Magnum Classic 110ml Magnum,"33,90 kr",,305 kcal,1272 kJ,18 g,13 g,30 g,27 g,,3.3 g,0.13 g,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-magnum-classic-110ml-magnum/2130094
